Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1739463859,2025-02-13T16:24:19Z,FDB920,"24.401705,38.273724",18200,414,63
1739463890,2025-02-13T16:24:50Z,FDB920,"24.427122,38.329227",19050,427,63
1739463921,2025-02-13T16:25:21Z,FDB920,"24.456778,38.393902",20175,433,63
1739463953,2025-02-13T16:25:53Z,FDB920,"24.484755,38.455154",21300,436,63
1739463985,2025-02-13T16:26:25Z,FDB920,"24.513336,38.517658",22400,439,63
1739464017,2025-02-13T16:26:57Z,FDB920,"24.543596,38.583828",23275,450,63
1739464051,2025-02-13T16:27:31Z,FDB920,"24.574631,38.652039",23800,468,63
1739464082,2025-02-13T16:28:02Z,FDB920,"24.606583,38.722485",24400,482,63
1739464114,2025-02-13T16:28:34Z,FDB920,"24.639076,38.794434",25000,495,63
1739464147,2025-02-13T16:29:07Z,FDB920,"24.672455,38.868153",25575,507,63
1739464177,2025-02-13T16:29:37Z,FDB920,"24.704109,38.938087",26225,515,63
1739464209,2025-02-13T16:30:09Z,FDB920,"24.738235,39.01347",27125,514,63
1739464242,2025-02-13T16:30:42Z,FDB920,"24.772797,39.089813",28050,514,63
1739464272,2025-02-13T16:31:12Z,FDB920,"24.804941,39.161079",29000,510,63
1739464304,2025-02-13T16:31:44Z,FDB920,"24.838411,39.235546",30025,503,63
1739464335,2025-02-13T16:32:15Z,FDB920,"24.870071,39.30603",30800,502,63
1739464368,2025-02-13T16:32:48Z,FDB920,"24.903446,39.38044",31375,507,63
1739464399,2025-02-13T16:33:19Z,FDB920,"24.936031,39.453304",31875,511,63
1739464429,2025-02-13T16:33:49Z,FDB920,"24.968491,39.525757",32350,514,63
1739464460,2025-02-13T16:34:20Z,FDB920,"25.000786,39.598095",32800,516,63
1739464493,2025-02-13T16:34:53Z,FDB920,"25.035324,39.675648",33350,517,63
1739464524,2025-02-13T16:35:24Z,FDB920,"25.067728,39.748482",33775,519,63
1739464555,2025-02-13T16:35:55Z,FDB920,"25.100967,39.823456",34125,523,63
1739464588,2025-02-13T16:36:28Z,FDB920,"25.136581,39.903667",34225,534,63
1739464620,2025-02-13T16:37:00Z,FDB920,"25.172104,39.983929",34350,545,64
1739464653,2025-02-13T16:37:33Z,FDB920,"25.20771,40.064754",34625,551,64
1739464685,2025-02-13T16:38:05Z,FDB920,"25.243286,40.148365",34925,556,67
1739464716,2025-02-13T16:38:36Z,FDB920,"25.268051,40.232189",35275,559,75
1739464748,2025-02-13T16:39:08Z,FDB920,"25.285034,40.320808",35600,561,78
1739464780,2025-02-13T16:39:40Z,FDB920,"25.302246,40.413105",35775,568,78
1739464811,2025-02-13T16:40:11Z,FDB920,"25.318272,40.500423",36175,568,78
1739464844,2025-02-13T16:40:44Z,FDB920,"25.334839,40.591534",36825,559,78
1739464875,2025-02-13T16:41:15Z,FDB920,"25.350626,40.67947",37000,557,78
1739464906,2025-02-13T16:41:46Z,FDB920,"25.370924,40.764927",37000,557,71
1739464937,2025-02-13T16:42:17Z,FDB920,"25.399612,40.845032",37000,557,67
1739464968,2025-02-13T16:42:48Z,FDB920,"25.429825,40.927227",37000,556,67
1739464999,2025-02-13T16:43:19Z,FDB920,"25.459808,41.009472",37000,556,68
1739465030,2025-02-13T16:43:50Z,FDB920,"25.489792,41.092377",37000,556,68
1739465062,2025-02-13T16:44:22Z,FDB920,"25.519958,41.17569",37000,557,68
1739465094,2025-02-13T16:44:54Z,FDB920,"25.551041,41.260937",37000,558,68
1739465125,2025-02-13T16:45:25Z,FDB920,"25.580502,41.341866",37000,559,68
1739465158,2025-02-13T16:45:58Z,FDB920,"25.612762,41.431152",37000,560,68
1739465191,2025-02-13T16:46:31Z,FDB920,"25.64415,41.518402",37000,559,68
1739465222,2025-02-13T16:47:02Z,FDB920,"25.673979,41.601234",37000,560,68
